App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
Conecte SUS,PEGI 3,0,False,4.3,170K,https://play.google.com/store/apps/details?id=br.gov.datasus.cnsdigital,"May 5, 2022","Aug 26, 2015","10,000,000+ ",70.5.3,HR
AVAX Blood Pressure Diary,PEGI 3,0,True,4.5,6.42K,https://play.google.com/store/apps/details?id=app.avax.health,"Jun 16, 2022","Dec 31, 2018","100,000+ ",6.9.5,HR
Practo: Online Doctor Consultations & Appointments,PEGI 3,0,False,4.5,223K,https://play.google.com/store/apps/details?id=com.practo.fabric,"Jun 19, 2022","May 21, 2015","5,000,000+ ",5.41,HR
Аптека Апрель,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.apteka.sklad,"Jun 2, 2022","Aug 3, 2018","1,000,000+ ",2.3.0,HR
OptoDrum,PEGI 3,£4.75,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.linsay.optodrumandroid,"Oct 15, 2020","May 23, 2015","5,000+ ",1.0.2,HR
Anatomy Quiz Pro,PEGI 3,£3.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=de.streuer.alexander.anatomyquizpro,"Aug 24, 2021","Dec 27, 2015","5,000+ ",4.8.1,HR
Sanvello: Anxiety & Depression,Parental guidance • Parental Guidance Recommended,0,True,4.5,23.3K,https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica,"Jun 15, 2022","Jan 26, 2015","1,000,000+ ",8.54.0,HR
Diseases & Disorders,PEGI 3,£0.89,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.soft24hours.directorys.medical.diseasemulti.paid,"Apr 16, 2020","Apr 5, 2016","5,000+ ",Varies with device,HR
Doctolib,PEGI 3,0,False,4.5,330K,https://play.google.com/store/apps/details?id=fr.doctolib.www,"Jun 14, 2022","Mar 11, 2020","10,000,000+ ",3.4.11,HR
5-Minute Clinical Consult,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.unbound.android.cq59l,"May 2, 2022","May 11, 2015","10,000+ ",2.8.10,HR
myNFP,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=de.mynfp.mobile,"Apr 25, 2022","Aug 22, 2017","100,000+ ",3.6.0,HR
Ada – check your health,PEGI 3,0,False,4.7,320K,https://play.google.com/store/apps/details?id=com.ada.app,"May 5, 2022","Mar 22, 2017","5,000,000+ ",3.17.0,HR
Guía Mensa,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=es.app.guia.mensa,"Jun 20, 2022","Mar 2, 2020","10,000+ ",3.111.0,HR
Healthians -Full Body Checkup,PEGI 3,0,False,4.4,18.6K,https://play.google.com/store/apps/details?id=com.healthians.main.healthians,"Jun 20, 2022","Nov 9, 2017","1,000,000+ ",16.0,HR
MEDCode: Bulários e Condutas,PEGI 3,0,True,5.0,2.03K,https://play.google.com/store/apps/details?id=br.com.medsos.sosplantao,"Jun 22, 2022","Mar 28, 2019","50,000+ ",3.0.3,HR
Halodoc: Doctors & Medicines,PEGI 3,0,False,4.8,381K,https://play.google.com/store/apps/details?id=com.linkdokter.halodoc.android,"Jun 20, 2022","Mar 11, 2016","10,000,000+ ",13.200,HR
Sunna Médecine,PEGI 3,£0.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.decodev.sunna_medecin,"Mar 8, 2022","Mar 8, 2022",10+ ,1.0.0,HR
AlbuSoins,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=fr.albus.albusoins,"May 2, 2022","Nov 17, 2016","10,000+ ",1.4.8,HR
Tabletki.ua: поиск лекарств,PEGI 3,0,False,4.7,111K,https://play.google.com/store/apps/details?id=com.tabletkiua.tabletki,"Jun 14, 2022","Nov 26, 2015","1,000,000+ ",4.1.369GMS,HR
Human Anatomy Atlas 2021,PEGI 3,£21.49,True,4.5,10.1K,https://play.google.com/store/apps/details?id=com.visiblebody.atlas,"Mar 17, 2021","Sep 30, 2016","100,000+ ",2021.2.27,HR
Mobile JKN,PEGI 3,0,False,3.4,361K,https://play.google.com/store/apps/details?id=app.bpjs.mobile,"May 23, 2022","Apr 17, 2016","10,000,000+ ",4.1.3,HR
DrugDoses,PEGI 3,£10.32,True,4.1,272,https://play.google.com/store/apps/details?id=com.DrugDoses.v2010,"Apr 6, 2022","Sep 16, 2010","5,000+ ",6.6,HR
SimMon,PEGI 3,£18.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=dk.castleandersen.simmon,"Oct 27, 2020","Oct 23, 2019",500+ ,1.1,HR
Dilumed,PEGI 3,£0.59,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.dilumed.pay,"Sep 27, 2021","Sep 27, 2021","1,000+ ",1.0,HR
Pedi STAT,PEGI 3,£4.89,False,4.3,171,https://play.google.com/store/apps/details?id=com.qxmd.pedistat,"Nov 9, 2021","Oct 6, 2010","10,000+ ",3.0.5,HR
Eka Care: Healthcare & Records,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=eka.care,"Jun 15, 2022","May 14, 2021","1,000,000+ ",2.4.7,HR
Sanford Guide,PEGI 3,0,True,4.2,3.48K,https://play.google.com/store/apps/details?id=com.sanfordguide.amt,"May 10, 2022","Aug 4, 2014","100,000+ ",5.1.13,HR
Geeky Medics - OSCE revision,PEGI 3,0,True,3.8,941,https://play.google.com/store/apps/details?id=com.geekymedics.oscerevision,"Nov 8, 2021","May 9, 2016","100,000+ ",3.75,HR
GNDI Easy,PEGI 3,0,False,2.6,109K,https://play.google.com/store/apps/details?id=br.com.gndi.beneficiario.gndieasy,"Jun 23, 2022","Sep 3, 2018","1,000,000+ ",1.0.85,HR
Amil Clientes,PEGI 3,0,False,3.7,154K,https://play.google.com/store/apps/details?id=br.com.amil.beneficiarios,"Jun 15, 2022","Apr 19, 2013","5,000,000+ ",4.48.00,HR
EMT PASS- NEW,PEGI 3,£18.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.limmercreative.passengine.emt,"Apr 6, 2021","Mar 4, 2020","1,000+ ",1.1.3,HR
BloodPressureDB,PEGI 3,0,True,3.5,4.63K,https://play.google.com/store/apps/details?id=net.klier.blutdruck,"Jun 7, 2022","Mar 30, 2011","500,000+ ",Varies with device,HR
Helsi,PEGI 3,0,False,4.3,41K,https://play.google.com/store/apps/details?id=helsi.me,"Jun 15, 2022","Nov 18, 2020","1,000,000+ ",1.0.98,HR
ALHOSN UAE,PEGI 3,0,False,2.8,49.7K,https://play.google.com/store/apps/details?id=doh.health.shield,"Jun 21, 2022","Apr 7, 2020","5,000,000+ ",3.5.2,HR
meditorium,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.schilumedia.meditorium,"May 27, 2022","Jul 24, 2013","50,000+ ",2.2.17,HR
Complete Anatomy 2022,PEGI 3,0,True,3.6,6.72K,https://play.google.com/store/apps/details?id=com.a3d4medical.completeanatomy,"May 23, 2022","Jun 19, 2018","500,000+ ",8.6.0,HR
Recognise Foot,PEGI 3,£6.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=au.com.appliquette.recognise.foot,"May 16, 2019","Mar 2, 2016","5,000+ ",1.0.6,HR
FP Notebook,PEGI 3,0,True,4.2,640,https://play.google.com/store/apps/details?id=com.usbmis.troposphere.fpnb,"Apr 26, 2022","Jun 3, 2014","50,000+ ",3.1.3.510,HR
Davis's Drug Guide,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.unbound.android.cqddl,"Jun 6, 2022","Jun 25, 2015","100,000+ ",2.8.04,HR
ICU Trials by ClinCalc,PEGI 3,£3.83,False,4.6,183,https://play.google.com/store/apps/details?id=com.clincalc.icutrials,"Mar 11, 2022","Jun 9, 2012","5,000+ ",3.2,HR
Curable Pain Relief,PEGI 3,0,True,4.3,809,https://play.google.com/store/apps/details?id=com.curablehealth.clara,"Mar 4, 2022","Dec 19, 2017","100,000+ ",4.13.3,HR
Medicina Hospitalaria,PEGI 3,£6.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=lhidalgo42.nicolas.triantafilo,"Feb 17, 2019","Dec 10, 2017","10,000+ ",2.1.8,HR
